ID,nrpts,area,density,ecc,center_1,center_2
219,494,0.1605064,3077.759,0.6036983,41.50079,23.22602
220,448,0.1190532,3763.023,0.8249596,33.38005,23.07966
221,61,0.02502085,2437.967,0.7522078,26.55321,23.83014
222,148,0.03998522,3701.367,0.5870838,34.66006,20.24215
223,152,0.04644777,3272.493,0.6297951,28.72088,34.51696
225,316,0.1053465,2999.626,0.75315,21.43771,17.54898
227,356,0.1073803,3315.321,0.8586799,32.43363,35.23518
228,107,0.03616076,2959.009,0.6620758,37.46967,19.66526
229,366,0.1163571,3145.49,0.8840914,26.10234,16.20577
230,233,0.07907111,2946.715,0.7462528,35.9034,17.13813
232,566,0.206735,2737.805,0.862017,26.1863,31.75148
233,242,0.0939022,2577.149,0.5717408,23.79854,34.64783
234,508,0.163435,3108.27,0.6894993,24.18903,16.72299
235,228,0.08118607,2808.364,0.6460188,19.19496,20.48204
236,66,0.02761594,2389.924,0.678717,32.09513,32.01521
239,374,0.1071657,3489.923,0.9554037,23.23162,42.18691
240,489,0.07135607,6852.957,0.4814331,31.85832,28.9751
241,114,0.05316091,2144.433,0.6064425,36.9696,30.9125
245,512,0.112848,4537.075,0.7983612,20.58764,31.34352
246,271,0.08504591,3186.514,0.2047267,25.86605,42.92938
247,90,0.02199597,4091.659,0.3314349,29.98546,30.48477
249,170,0.06822842,2491.63,0.8289942,35.78816,21.67605
251,648,0.1340158,4835.249,0.7899015,20.9417,29.74101
252,114,0.04517647,2523.438,0.7833471,35.18711,27.50642
253,112,0.03227043,3470.669,0.6058954,30.81733,21.09562
254,82,0.02706859,3029.342,0.544335,23.99634,25.18234
256,99,0.04263105,2322.251,0.8309312,38.56863,32.0681
257,67,0.020702,3236.402,0.5901671,36.31597,22.07792
258,73,0.01787072,4084.894,0.8306572,37.51729,25.0996
259,68,0.02144916,3170.287,0.920399,30.07057,27.68472
261,387,0.1363588,2838.101,0.8853381,39.27199,31.12932
262,55,0.02554039,2153.452,0.5141723,35.19863,26.65554
263,931,0.2027526,4591.803,0.8520604,25.92387,37.88472
266,319,0.1081607,2949.315,0.6831432,40.54846,23.60112
267,67,0.01463638,4577.635,0.7109468,30.90936,30.71826
268,386,0.1165943,3310.624,0.8193476,23.49829,35.89552
270,236,0.06208973,3800.951,0.7266771,32.58092,23.82568
271,546,0.1586542,3441.447,0.8333591,30.53063,42.15835
272,259,0.1044785,2478.979,0.7917175,17.55387,34.74765
273,197,0.04493435,4384.173,0.5770958,28.28139,24.24751
274,133,0.04270733,3114.219,0.1867556,37.54879,23.37986
275,144,0.06043566,2382.699,0.8562797,24.40236,33.40649
276,217,0.08993308,2412.905,0.6531023,25.79861,23.94103
277,85,0.03511254,2420.787,0.6547288,31.88918,15.46338
278,418,0.1642455,2544.97,0.7878601,29.72967,41.82948
279,228,0.07645943,2981.974,0.9121507,32.08012,28.02015
280,121,0.05485079,2205.985,0.5060659,23.94601,33.71775
281,154,0.02793931,5511.948,0.8307946,25.263,29.31322
282,130,0.03974698,3270.689,0.636159,33.4887,23.82043
283,77,0.02981003,2583.023,0.7332853,24.51195,23.88519
284,170,0.05765811,2948.414,0.8169928,29.07467,41.6233
285,80,0.0245253,3261.938,0.835796,24.2259,28.16164
286,644,0.1659998,3879.523,0.5673606,27.75893,41.14309
288,50,0.02283136,2189.97,0.6387444,30.77132,20.45634
289,152,0.06273812,2422.77,0.6789,20.06514,17.65109
290,520,0.1914312,2716.38,0.8173248,40.98116,23.53338
291,112,0.04030877,2778.552,0.8157452,21.76687,26.5768
293,386,0.1147921,3362.601,0.8974622,33.71119,19.14379
294,127,0.02824677,4496.09,0.603717,17.18489,24.84216
296,132,0.05439349,2426.761,0.4984438,27.89187,24.06704
297,111,0.02849147,3895.904,0.7546189,38.6076,18.39598
299,278,0.08052879,3452.182,0.7569097,21.7144,29.49913
300,72,0.02941462,2447.762,0.4487182,39.05723,29.88462
301,143,0.04232952,3378.257,0.7870514,37.76341,38.00409
303,202,0.09209125,2193.477,0.4867742,19.32607,22.16256
307,50,0.01531493,3264.788,0.8024802,30.44663,27.25608
309,552,0.1778863,3103.105,0.7002447,39.07349,22.30496
312,449,0.1749718,2566.128,0.8251841,32.23854,40.71879
314,382,0.0944841,4043.008,0.7226616,18.22455,37.29204
315,65,0.02332439,2786.782,0.4123567,30.35397,24.45482
317,75,0.02526618,2968.395,0.6295332,36.9759,26.35769
320,238,0.06734306,3534.143,0.6027917,18.79601,26.03069
323,255,0.06847015,3724.251,0.840593,34.20717,19.72559
324,50,0.01448246,3452.452,0.8330705,23.88722,30.95699
325,79,0.01596335,4948.835,0.5501846,19.05573,16.79748
327,60,0.01586908,3780.937,0.6920583,25.13392,24.52724
328,54,0.01823691,2961.028,0.6508027,24.32443,35.57273
330,242,0.08365698,2892.765,0.7143287,30.70901,31.93017
